Delek US Holdings Inc	0.02%
Vector Group Ltd.	0.02%
GameStop Corp. Class A	0.02%
Covanta Holding Corporation	0.02%
Regal Entertainment Group Class A	0.02%
Northwest Natural Gas Company	0.02%
SemGroup Corporation Class A	0.02%
Horace Mann Educators Corporation	0.02%
Brady Corporation Class A	0.02%
Otter Tail Corporation	0.02%
Capitol Federal Financial, Inc.	0.02%
Triton International Ltd. Class A	0.02%
WesBanco, Inc.	0.02%
Cars.com, Inc.	0.02%
First Financial Bancorp.	0.02%
Waddell & Reed Financial, Inc. Class A	0.02%
Pattern Energy Group, Inc. Class A	0.02%
Brinker International, Inc.	0.02%
Northwest Bancshares, Inc.	0.02%
Provident Financial Services, Inc.	0.02%
Owens & Minor, Inc.	0.02%
HFF, Inc. Class A	0.02%
HNI Corporation	0.02%
NBT Bancorp Inc.	0.02%
Artisan Partners Asset Management, Inc. Class A	0.02%
Mercury General Corporation	0.02%
Bob Evans Farms, Inc.	0.02%
Mobile Mini, Inc.	0.02%
First Hawaiian, Inc.	0.02%
M.D.C. Holdings, Inc.	0.02%
Westamerica Bancorporation	0.02%
CNA Financial Corporation	0.02%
Greenbrier Companies, Inc.	0.01%
Greif Class A	0.01%
DSW Inc. Class A	0.01%
First Commonwealth Financial Corporation	0.01%
Universal Corp	0.01%
Park National Corporation	0.01%
Cosan Limited Class A	0.01%
S&T Bancorp, Inc.	0.01%
WisdomTree Investments, Inc.	0.01%
Boston Private Financial Holdings, Inc.	0.01%
Steelcase Inc. Class A	0.01%
Tompkins Financial Corporation	0.01%
Consolidated Communications Holdings, Inc.	0.01%
Schweitzer-Mauduit International, Inc.	0.01%
NRG Yield, Inc. Class C	0.01%
HSN, Inc.	0.01%
Ferroglobe PLC	0.01%
ManTech International Corporation Class A	0.01%
Aircastle Limited	0.01%
Chico's FAS, Inc.	0.01%
Safety Insurance Group, Inc.	0.01%
Knoll, Inc.	0.01%
A. Schulman, Inc.	0.01%
AmTrust Financial Services Inc.	0.01%
Briggs & Stratton Corporation	0.01%
NIC Inc.	0.01%
Gannett Co., Inc.	0.01%
Atlantica Yield plc	0.01%
Brookline Bancorp, Inc.	0.01%
Ship Finance International Limited	0.01%
Cardtronics plc Class A	0.01%
General Cable Corporation	0.01%
McGrath RentCorp	0.01%
Guess?, Inc.	0.01%
H&E Equipment Services, Inc.	0.01%
Liberty Global Plc LiLAC Group Class A	0.01%
City Holding Company	0.01%
United States Treasury Bills 0.0% 24-NOV-2017	0.01%
Frontier Communications Corporation Class B	0.01%
Abercrombie & Fitch Co. Class A	0.01%
Innophos Holdings, Inc.	0.01%
Copa Holdings, S.A. Class A	0.01%
Innoviva, Inc.	0.01%
DineEquity, Inc.	0.01%
Sandy Spring Bancorp, Inc.	0.01%
Archrock Inc.	0.01%
American National Insurance Company	0.01%
New Media Investment Group, Inc.	0.01%
Cohen & Steers, Inc.	0.01%
Sturm, Ruger & Company, Inc.	0.01%
AVX Corporation	0.01%
Tailored Brands, Inc.	0.01%
GasLog Ltd.	0.01%
Flushing Financial Corporation	0.01%
TrustCo Bank Corp NY	0.01%
Schnitzer Steel Industries, Inc. Class A	0.01%
FBL Financial Group, Inc. Class A	0.01%
Ethan Allen Interiors Inc.	0.01%
TFS Financial Corporation	0.01%
R.R. Donnelley & Sons Company	0.01%
Government of the United States of America 0.0% 02-JAN-2018	0.01%
Community Trust Bancorp, Inc.	0.01%
Rayonier Advanced Materials Inc	0.01%
Oritani Financial Corp.	0.01%
Dime Community Bancshares, Inc.	0.01%
Meridian Bioscience, Inc.	0.01%
Buckle, Inc.	0.01%
NRG Yield, Inc. Class A	0.01%
National Presto Industries, Inc.	0.01%
TerraForm Power, Inc. Class A	0.01%
First Financial Corporation	0.01%
Frontline Ltd.	0.01%
Barnes & Noble, Inc.	0.01%
Nordic American Tankers Limited	0.01%
National CineMedia, Inc.	0.01%
Seaspan Corporation	0.01%
Teekay Corporation	0.01%
Essendant Inc.	0.01%
Greenhill & Co., Inc.	0.01%
Myers Industries, Inc.	0.00%
CVR Energy, Inc.	0.00%
Rent-A-Center Inc	0.00%
Superior Industries International, Inc.	0.00%
Frank's International NV	0.00%
Weis Markets, Inc.	0.00%
Windstream Holdings, Inc.	0.00%
American Railcar Industries, Inc.	0.00%
Republic Bancorp, Inc. Class A	0.00%
Pitney Bowes Inc.	0.00%
Speedway Motorsports, Inc.	0.00%
Scorpio Tankers Inc.	0.00%
United States Treasury Bills 0.0% 22-MAR-2018	0.00%
Fairfax Financial Holdings Limited	0.00%
Time, Inc.	0.00%
Maiden Holdings, Ltd.	0.00%
Kindred Healthcare, Inc.	0.00%
Resources Connection, Inc.	0.00%
Pier 1 Imports, Inc.	0.00%
Cato Corporation Class A	0.00%
SAFEWAY INC CASA LEY CVR 2/20/2015	0.00%
EQUITY OTHER	0.00%
